title,date,price,is_discounted,locals,surface,bathrooms,floor
"Quadrilocale via Nicomede Bianchi 10, Parella, Torino",30/11/2022,€ 160.000,0,4,115 m²,1,1
"Trilocale buono stato, secondo piano, Crocetta, Torino",29/12/2022,€ 195.000,1,3,67 m²,1,2
"Villa unifamiliare Strada Guido Volante 121, Colle della Maddalena, Torino",10/10/2022,Prezzo su richiesta,0,5+,700 m²,3+,
"Bilocale nuovo, secondo piano, Cavoretto, Torino",19/01/2022,€ 177.000,0,2,51 m²,1,2
"Appartamento corso Cairoli, 30, Via della Rocca, Torino",07/11/2022,€ 898.000,0,5+,195 m²,2,3
"Bilocale via Belfiore, San Salvario - Dante, Torino",28/12/2022,€ 150.000,0,2,60 m²,1,R
"Quadrilocale via Sineo 12, Vanchiglia, Torino",02/01/2023,€ 195.000,0,4,95 m²,1,2
"Appartamento piazza Vittorio Veneto 18, Giardini Reali, Torino",24/11/2022,€ 580.000,0,5+,150 m²,2,1
"Quadrilocale corso Regina Margherita 288, Vanchiglia, Torino",14/12/2022,€ 165.000,0,4,90 m²,3,
"Trilocale piazza Nazario Sauro 20, Lucento, Torino",13/12/2022,€ 115.000,0,3,85 m²,1,1
"Trilocale via Paolo Veronese 309A, Madonna di Campagna, Torino",19/12/2022,€ 100.000,0,3,89 m²,1,1
"Trilocale corso Monte Grappa 56, Parella, Torino",19/12/2022,€ 229.000,0,3,105 m²,1,8
"Trilocale via MONTEROSA 77, Barriera di Milano, Torino",25/11/2022,€ 67.900,0,3,64 m²,1,3
"Trilocale corso Traiano 10, Mirafiori Sud - Onorato Vigliani, Torino",24/08/2022,€ 179.000,0,3,96 m²,1,R
"Quadrilocale via Ugo Foscolo 30, San Salvario - Dante, Torino",19/11/2022,€ 235.000,0,4,85 m²,1,1
"Quadrilocale via Ugo Foscolo 30, San Salvario - Dante, Torino",19/11/2022,€ 248.000,0,4,100 m²,1,1
"Monolocale via Bergamo, 4, Aurora, Torino",23/11/2022,€ 135.000,0,1,51 m²,1,1
"Trilocale via Bergamo, 4, Aurora, Torino",23/11/2022,€ 275.000,0,3,91 m²,1,5
"Trilocale via Don Giovanni Bosco 75, Don Bosco, Torino",19/11/2022,€ 120.000,0,3,80 m²,1,1
"Appartamento corso Luigi Einaudi, Crocetta, Torino",26/10/2022,€ 890.000,0,5+,248 m²,3,4
"Appartamento via Principe Amedeo, Via Roma, Torino",09/12/2022,€ 795.000,0,5+,200 m²,2,3
"Attico piazza San Carlo, Via Roma, Torino",30/06/2022,€ 3.400.000,0,5+,452 m²,3+,
"Trilocale vicolo Crocetta 7, Crocetta, Torino",11/11/2022,€ 310.000,0,3,135 m²,2,1
"Quadrilocale largo Cardinale Guglielmo Massaia 37, Madonna di Campagna, Torino",01/12/2022,€ 99.000,0,4,95 m²,1,R
"Villa unifamiliare, ottimo stato, 386 m², Gran Madre - Crimea, Torino",16/12/2022,€ 1.230.000,0,5+,386 m²,3+,
"Bilocale via La Loggia 7, Lingotto, Torino",12/12/2022,€ 103.000,0,2,55 m²,1,4
"Appartamento corso Moncalieri 271, Cavoretto, Torino",19/01/2022,€ 482.000,0,5,136 m²,2,2
"Bilocale piazza Statuto, Cittadella, Torino",30/12/2022,€ 160.000,0,2,80 m²,1,3
"Bilocale via Belfiore, San Salvario - Dante, Torino",30/12/2022,€ 150.000,0,2,65 m²,1,R
"Appartamento via Giuseppe Luigi Lagrange 3, Via Roma, Torino",29/12/2022,Prezzo su richiesta,0,5,220 m²,3,2
"Trilocale via Nicomede Bianchi 23, Parella, Torino",21/12/2022,€ 143.000,0,3,75 m²,1,1
"Trilocale via Malta 31, San Paolo, Torino",21/12/2022,€ 148.000,0,3,90 m²,1,2
"Appartamento via Pietro Bonfante 13, Centro Europa, Torino",18/10/2022,€ 260.000,0,5,165 m²,2,2
"Trilocale via Gianfrancesco Re 61, Parella, Torino",26/11/2022,€ 128.000,0,3,80 m²,1,1
"Bilocale corso Moncalieri 271, Torino",13/02/2022,€ 177.000,0,2,51 m²,1,M
"Trilocale corso Moncalieri 271, Torino",13/02/2022,€ 275.000,0,3,77 m²,1,M
"Quadrilocale corso Moncalieri 271, Torino",13/02/2022,€ 335.000,0,4,87 m²,1,M
"Quadrilocale corso Moncalieri 271, Torino",13/02/2022,€ 380.000,0,4,108 m²,2,M
"Quadrilocale corso Moncalieri 271, Torino",13/02/2022,€ 432.000,0,4,116 m²,2,M
"Appartamento corso Moncalieri 271, Torino",13/02/2022,€ 482.000,0,5,136 m²,2,M
"Appartamento corso Moncalieri 271, Torino",13/02/2022,€ 750.000,0,5+,192 m²,3,M
"Monolocale via Bartolomeo Bona 47, San Secondo, Torino",13/12/2022,€ 85.000,0,1,28 m²,1,1
"Bilocale via Ormea 164, San Salvario - Dante, Torino",29/12/2022,€ 100.000,0,2,40 m²,1,6
"Quadrilocale via Saliceto 4, Santa Rita, Torino",09/12/2022,€ 390.000,0,4,150 m²,2,2
"Quadrilocale corso Orbassano 448, Mirafiori Sud - Strada del Drosso, Torino",19/11/2022,€ 179.000,0,4,100 m²,2,7
"Bilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 170.000,0,2,52 m²,1,
"Trilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 260.000,0,3,82 m²,1,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 330.000,0,4,98 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 330.000,0,4,105 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 350.000,0,4,112 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 355.000,0,4,100 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 360.000,0,4,107 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 365.000,0,4,111 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 370.000,0,4,105 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 375.000,0,4,120 m²,2,
"Quadrilocale via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 390.000,0,4,113 m²,2,
"Appartamento via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 470.000,0,5,144 m²,2,
"Appartamento via Francesco Petrarca, San Salvario - Dante, Torino",23/12/2022,€ 500.000,0,5,139 m²,2,
"Quadrilocale via Principi d'Acaja 44, Cit Turin, Torino",02/01/2023,€ 380.000,0,4,130 m²,2,
"Quadrilocale Strada del Cantello 3, Gran Madre - Crimea, Torino",15/12/2022,€ 350.000,0,4,110 m²,1,3
"Bilocale viale dei Mughetti 15/A, Le Vallette, Torino",20/12/2022,€ 88.000,0,2,65 m²,1,1
"Quadrilocale via Buenos Aires 16, Santa Rita, Torino",01/12/2022,€ 275.000,0,4,120 m²,2,3
"Villa unifamiliare corso Moncalieri 365, Cavoretto, Torino",03/01/2023,€ 1.090.000,0,5+,500 m²,3+,
"Bilocale via Giovanni Francesco Napione 33, Vanchiglia, Torino",01/12/2022,€ 133.000,0,2,59 m²,1,4
"Bilocale via Nole 61, Lucento, Torino",12/09/2022,€ 58.000,0,2,55 m²,1,3
"Villa unifamiliare corso Moncalieri, Cavoretto, Torino",25/11/2022,€ 1.150.000,0,5+,335 m²,2,
"Appartamento Strada del Nobile, Colle della Maddalena, Torino",15/03/2022,€ 560.000,0,5+,230 m²,3,2
"Attico corso mediterraneo 124, Crocetta, Torino",30/12/2022,Prezzo su richiesta,0,4,130 m²,2,8
"Trilocale piazza Vittorio Veneto, Giardini Reali, Torino",30/12/2022,€ 148.000,0,3,113 m²,3,
"Quadrilocale ottimo stato, secondo piano, Campidoglio, Torino",04/11/2022,€ 295.000,0,4,118 m²,2,2
"Appartamento ottimo stato, primo piano, Campidoglio, Torino",22/11/2022,€ 298.000,0,5,139 m²,2,1
Palazzo - Edificio in Vendita,29/11/2022,€ 940.000,0,600 m²,3+,,
"Bilocale via Monginevro 182, Pozzo Strada, Torino",29/12/2022,€ 79.000,0,2,62 m²,1,1
"Appartamento ottimo stato, nono piano, Campidoglio, Torino",29/11/2022,€ 355.000,0,5+,240 m²,3,9
"Bilocale via Ormea 78, San Salvario - Dante, Torino",22/12/2022,€ 69.000,0,2,50 m²,1,1
"Quadrilocale via Paolo Veronese 134/18, Barriera di Lanzo, Torino",16/11/2022,€ 149.000,0,4,101 m²,2,1
"Trilocale via Natale Palli 46, Borgo Vittoria, Torino",28/11/2022,€ 55.000,0,3,70 m²,1,1
"Appartamento via Tofane 44 A, Pozzo Strada, Torino",21/12/2022,€ 338.000,0,5,165 m²,2,3
"Quadrilocale corso Moncalieri 320, Cavoretto, Torino",02/01/2023,€ 254.000,0,4,120 m²,2,1
"Trilocale corso Toscana 95, Lucento, Torino",30/12/2022,€ 119.000,0,3,77 m²,1,1
"Trilocale via Valentino Carrera 7, Parella, Torino",12/12/2022,€ 85.000,0,3,65 m²,1,2
"Quadrilocale Strada di Fenestrelle 9/23, Madonna del Pilone, Torino",03/01/2023,€ 420.000,0,4,94 m²,2,T
"Quadrilocale via Errico Giachino 71, Borgo Vittoria, Torino",30/12/2022,€ 59.000,0,4,80 m²,1,T
"Quadrilocale corso GIAMBONE 63, Lingotto, Torino",02/12/2022,€ 220.000,0,4,125 m²,2,3
"Quadrilocale via Madama Cristina 104, San Salvario - Dante, Torino",27/12/2022,€ 235.000,0,4,100 m²,2,2
"Bilocale corso Moncalieri 5, Gran Madre - Crimea, Torino",02/01/2023,€ 199.000,0,2,67 m²,1,3
"Trilocale corso Giulio Cesare 24, Aurora, Torino",29/11/2022,€ 125.000,0,3,70 m²,1,3
"Quadrilocale via Luca della Robbia 16, Pozzo Strada, Torino",27/12/2022,€ 209.000,0,4,105 m²,1,4
"Quadrilocale via PANIZZA 2, Città Giardino, Torino",22/12/2022,€ 179.000,0,4,114 m²,2,1
"Trilocale via Fea Leonardo 30, Borgo Vittoria, Torino",27/12/2022,€ 89.000,0,3,79 m²,1,4
"Bilocale via Luigi Tarino 11, Vanchiglia, Torino",23/12/2022,€ 93.000,0,2,40 m²,1,1
